Lat,Long,Bestätigte Fälle,Region,Todesfälle,Geheilte
37.6489,-122.6655,21.0,Grand Princess,,0.0
37.6489,-122.6655,21.0,Grand Princess,,
33.0406,-83.6431,99.0,Georgia,0.0,0.0
33.0406,-83.6431,99.0,Georgia,0.0,0.0
33.0406,-83.6431,99.0,Georgia,1.0,0.0
33.0406,-83.6431,99.0,Georgia,1.0,0.0
39.0598,-105.3111,101.0,Colorado,1.0,0.0
27.7663,-81.6868,115.0,Florida,4.0,0.0
40.2989,-74.521,74.0,New Jersey,2.0,0.0
44.572,-122.0709,36.0,Oregon,1.0,0.0
31.0545,-97.5635,63.0,Texas,0.0,0.0
40.3495,-88.9861,66.0,Illinois,0.0,2.0
40.5908,-77.2098,47.0,Pennsylvania,0.0,0.0
42.0115,-93.2105,18.0,Iowa,0.0,0.0
39.0639,-76.8021,31.0,Maryland,0.0,0.0
35.6301,-79.8064,32.0,North Carolina,0.0,0.0
33.8569,-80.945,19.0,South Carolina,0.0,0.0
35.7478,-86.6923,32.0,Tennessee,0.0,0.0
37.7693,-78.17,45.0,Virginia,1.0,0.0
33.7298,-111.4312,12.0,Arizona,0.0,1.0
39.8494,-86.2583,20.0,Indiana,0.0,0.0
37.6681,-84.6701,18.0,Kentucky,0.0,0.0
38.8974,-77.0268,16.0,District of Columbia,0.0,0.0
38.3135,-117.0554,21.0,Nevada,0.0,0.0
43.4525,-71.5639,7.0,New Hampshire,0.0,0.0
45.6945,-93.9002,35.0,Minnesota,0.0,0.0
41.1254,-98.2681,17.0,Nebraska,0.0,0.0
40.3888,-82.7649,30.0,Ohio,0.0,0.0
41.6809,-71.5118,20.0,Rhode Island,0.0,0.0
44.2685,-89.6165,28.0,Wisconsin,0.0,1.0
41.5978,-72.7554,24.0,Connecticut,0.0,0.0
21.0943,-157.4983,6.0,Hawaii,0.0,0.0
35.5653,-96.9289,4.0,Oklahoma,0.0,0.0
40.15,-111.8624,24.0,Utah,0.0,0.0
12.2383,-1.5616,2.0,Burkina Faso,0.0,0.0
41.9029,12.4534,1.0,Holy See,0.0,0.0
46.8625,103.8467,1.0,Mongolia,0.0,0.0
8.538,-80.7821,43.0,Panama,1.0,0.0
38.5266,-96.7265,8.0,Kansas,1.0,0.0
31.1695,-91.8678,91.0,Louisiana,2.0,0.0
38.4561,-92.2884,5.0,Missouri,0.0,0.0
44.0459,-72.7107,5.0,Vermont,0.0,0.0
61.3707,-152.4044,1.0,Alaska,0.0,0.0
34.9697,-92.3731,16.0,Arkansas,0.0,0.0
39.3185,-75.5071,6.0,Delaware,0.0,0.0
44.2405,-114.4788,5.0,Idaho,0.0,0.0
44.6939,-69.3819,6.0,Maine,0.0,0.0
43.3266,-84.5361,33.0,Michigan,0.0,0.0
32.7416,-89.6787,6.0,Mississippi,0.0,0.0
46.9219,-110.4544,7.0,Montana,0.0,0.0
34.8405,-106.2485,13.0,New Mexico,0.0,0.0
47.5289,-99.784,1.0,North Dakota,0.0,0.0
44.2998,-99.4388,9.0,South Dakota,1.0,0.0
38.4912,-80.9545,0.0,West Virginia,0.0,0.0
42.756,-107.3025,3.0,Wyoming,0.0,0.0
30.9756,112.2707,67794.0,Hubei,3085.0,54288.0
32.0,53.0,13938.0,Iran,724.0,4590.0
36.0,128.0,8162.0,"Korea, South",75.0,510.0
46.2276,2.2137,4499.0,France,91.0,12.0
23.3417,113.4244,1360.0,Guangdong,8.0,1304.0
33.882,113.614,1273.0,Henan,22.0,1250.0
29.1832,120.0934,1231.0,Zhejiang,1.0,1211.0
27.6104,111.7088,1018.0,Hunan,4.0,1014.0
31.8257,117.2264,990.0,Anhui,6.0,984.0
27.614,115.7221,935.0,Jiangxi,1.0,934.0
36.3427,118.1498,760.0,Shandong,7.0,741.0
35.4437,139.638,696.0,Diamond Princess,0.0,0.0
35.4437,139.638,696.0,Diamond Princess,0.0,325.0
35.4437,139.638,696.0,Diamond Princess,7.0,0.0
35.4437,139.638,696.0,Diamond Princess,7.0,325.0
32.9711,119.455,631.0,Jiangsu,0.0,631.0
30.0572,107.874,576.0,Chongqing,6.0,570.0
30.6171,102.7103,539.0,Sichuan,3.0,516.0
47.862,127.7615,482.0,Heilongjiang,13.0,453.0
56.2639,9.5018,864.0,Denmark,1.0,1.0
40.1824,116.4142,442.0,Beijing,8.0,353.0
31.202,121.4491,353.0,Shanghai,3.0,324.0
39.549,116.1306,318.0,Hebei,6.0,310.0
26.0789,117.9874,296.0,Fujian,1.0,295.0
23.8298,108.7881,252.0,Guangxi,2.0,243.0
35.1917,108.8701,245.0,Shaanxi,2.0,232.0
24.974,101.487,174.0,Yunnan,2.0,172.0
19.1959,109.7453,168.0,Hainan,6.0,160.0
26.8154,106.8748,146.0,Guizhou,2.0,143.0
39.3054,117.323,136.0,Tianjin,3.0,133.0
37.5777,112.2922,133.0,Shanxi,0.0,133.0
37.8099,101.0583,133.0,Gansu,2.0,91.0
22.3,114.2,145.0,Hong Kong,4.0,81.0
41.2956,122.6085,125.0,Liaoning,1.0,114.0
43.6661,126.1923,93.0,Jilin,1.0,91.0
49.8175,15.473,231.0,Czechia,0.0,0.0
41.1129,85.2401,76.0,Xinjiang,3.0,73.0
44.0935,113.9448,75.0,Inner Mongolia,1.0,71.0
37.2692,106.1655,75.0,Ningxia,0.0,73.0
23.7,121.0,59.0,Taiwan*,1.0,20.0
16.0,108.0,56.0,Vietnam,0.0,16.0
60.0,90.0,63.0,Russia,0.0,8.0
35.7452,95.9956,18.0,Qinghai,0.0,18.0
22.1667,113.55,10.0,Macau,0.0,10.0
47.4116,28.3699,12.0,Moldova,0.0,0.0
-16.2902,-63.5887,10.0,Bolivia,0.0,0.0
61.8926,-6.9118,11.0,Faroe Islands,0.0,0.0
18.0708,-63.0501,2.0,St Martin,0.0,0.0
15.2,-86.2419,3.0,Honduras,0.0,0.0
49.3723,-2.3644,3.0,Channel Islands,0.0,0.0
46.5653,-66.4619,2.0,New Brunswick,0.0,0.0
31.6927,88.0924,1.0,Tibet,0.0,1.0
-4.0383,21.7587,2.0,Congo (Kinshasa),0.0,0.0
7.54,-5.5471,1.0,Cote d'Ivoire,0.0,0.0
17.9,-62.8333,1.0,Saint Barthelemy,0.0,0.0
18.1096,-77.2975,8.0,Jamaica,0.0,0.0
-21.1151,55.5364,7.0,Reunion,0.0,0.0
38.9637,35.2433,6.0,Turkey,0.0,0.0
36.1408,-5.3536,1.0,Gibraltar,0.0,1.0
47.6477,-122.6413,,"Kitsap, WA",,
38.3105,-121.9018,,"Solano, CA",,
37.0454,-121.958,,"Santa Cruz, CA",,
38.5025,-122.2654,,"Napa, CA",,
34.3705,-119.1391,,"Ventura, CA",,
42.4097,-71.8571,,"Worcester, MA",,
33.9191,-84.0167,,"Gwinnett, GA",,
33.7956,-84.2279,,"DeKalb, GA",,
37.5455,-82.7779,,"Floyd, GA",,
33.4502,-84.4803,,"Fayette, GA",,
32.4893,-94.8521,,"Gregg, TX",,
40.2589,-74.124,,"Monmouth, NJ",,
40.0712,-74.8649,,"Burlington, NJ",,
39.9259,-75.1196,,"Camden, NJ",,
40.8568,-74.1285,,"Passaic, NJ",,
40.6976,-74.2632,,"Union, NJ",,
39.6553,-106.8287,,"Eagle, CO",,
40.6956,-105.5943,,"Larimer, CO",,
39.6203,-104.3326,,"Arapahoe, CO",,
38.5458,-106.9253,,"Gunnison, CO",,
41.9879,-88.4016,,"Kane, IL",,
41.0458,-75.2479,,"Monroe, PA",,
39.9526,-75.1652,,"Philadelphia, PA",,
36.8508,-76.2859,,"Norfolk, VA",,
38.8816,-77.09100000000002,,"Arlington, VA",,
38.2042,-77.6078,,"Spotsylvania, VA",,
39.0768,-77.6536,,"Loudoun, VA",,
38.7849,-76.8721,,"Prince George's, MD",,
41.3912,-95.4778,,"Pottawattamie, IA",,
34.2465,-80.607,,"Camden, NC",,
32.0575,-111.6661,,"Pima, AZ",,
41.4277,-85.355,,"Noble, IN",,
39.8522,-77.2865,,"Adams, IN",,
40.0106,-86.4997,,"Boone, IN",,
43.0186,-89.5498,,"Dane, WI",,
44.7509,-92.3814,,"Pierce, WI",,
41.4339,-81.6758,,"Cuyahoga, OH",,
41.2603,-111.9522,,"Weber, UT",,
43.0279,-73.135,,"Bennington County, VT",,
44.8254,-93.7842,,"Carver County, MN",,
26.8946,-81.9098,,"Charlotte County, FL",,
34.2515,-84.4803,,"Cherokee County, GA",,
33.1795,-96.493,,"Collin County, TX",,
38.1938,-85.6435,,"Jefferson County, KY",,
29.6499,-90.1121,,"Jefferson Parish, LA",,
40.7909,-121.8474,,"Shasta County, CA",,
34.8606,-81.9535,,"Spartanburg County, SC",,
38.4333,-84.3542,,"Harrison County, KY",,
41.6699,-91.5984,,"Johnson County, IA",,
42.3118,-73.1822,,"Berkshire County, MA",,
36.1343,-86.822,,"Davidson County, TN",,
43.1261,-123.2492,,"Douglas County, OR",,
36.9859,-119.2321,,"Fresno County, CA",,
39.5839,-76.3637,,"Harford County, MD",,
39.8065,-86.5401,,"Hendricks County, IN",,
40.7453,-74.0535,,"Hudson County, NJ",,
38.8454,-94.8521,,"Johnson County, KS",,
47.175,-120.9319,,"Kittitas County, WA",,
27.4799,-82.3452,,"Manatee County, FL",,
44.8446,-122.5927,,"Marion County, OR",,
30.5773,-86.6611,,"Okaloosa County, FL",,
34.0132,-85.1479,,"Polk County, GA",,
33.9533,-117.3961,,"Riverside County, CA",,
35.1269,-89.9253,,"Shelby County, TN",,
38.6103,-90.4125,,"St. Louis County, MO",,
40.9849,-72.6151,,"Suffolk County, NY",,
41.8586,-74.3118,,"Ulster County, NY",,
29.028,-81.0755,,"Volusia County, FL",,
38.9085,-77.2405,,"Fairfax County, VA",,
42.9931,-71.0498,,"Rockingham County, NH",,
38.9072,-77.0369,,"Washington, D.C.",,
40.229,-75.3879,,"Montgomery County, PA",,
37.6017,-121.7195,,"Alameda County, CA",,
26.1901,-80.3659,,"Broward County, FL",,
26.663,-81.9535,,"Lee County, FL",,
32.8162,-111.2845,,"Pinal County, AZ",,
41.1489,-73.983,,"Rockland County, NY",,
43.0324,-73.936,,"Saratoga County, NY",,
32.7957,-79.7848,,"Charleston County, SC",,
45.7466,-122.5194,,"Clark County, WA",,
33.8999,-84.5641,,"Cobb County, GA",,
40.9629,-112.0953,,"Davis County, UT",,
38.9108,-104.4723,,"El Paso County, CO",,
21.307,-157.8584,,"Honolulu County, HI",,
42.3345,-122.7647,,"Jackson County, OR ",,
47.7425,-123.304,,"Jefferson County, WA",,
34.3672,-80.5883,,"Kershaw County, SC",,
42.6953,-121.6142,,"Klamath County, OR",,
37.2519,-119.6963,,"Madera County, CA",,
47.0676,-122.1295,,"Pierce County, WA",,
36.1593,-95.941,,"Tulsa County, OK",,
39.2587,-104.9389,,"Douglas County, CO",,
41.8882,-71.4774,,"Providence County, RI",,
35.7211,-79.1781,,"Chatham County, NC",,
39.9078,-75.3879,,"Delaware County, PA",,
41.3148,-96.1951,,"Douglas County, NE",,
38.0606,-84.4803,,"Fayette County, KY",,
39.8362,-86.1752,,"Marion County, IN",,
42.4672,-71.2874,,"Middlesex County, MA",,
40.6546,-73.5594,,"Nassau County, NY",,
44.9964,-93.0616,,"Ramsey County, MN",,
40.5608,-119.6035,,"Washoe County, NV",,
41.6739,-75.2479,,"Wayne County, PA",,
38.7646,-121.9018,,"Yolo County, CA",,
37.3541,-121.9552,,"Santa Clara County, CA",,
36.0796,-115.094,,"Clark County, NV",,
29.5693,-95.8143,,"Fort Bend County, TX",,
47.1981,-119.3732,,"Grant County, WA",,
30.769,-86.9824,,"Santa Rosa County, FL",,
35.9179,-86.8622,,"Williamson County, TN",,
40.7128,-74.006,,"New York County, NY",,
39.1547,-77.2405,,"Montgomery County, MD",,
42.3601,-71.0589,,"Suffolk County, MA",,
39.7392,-104.9903,,"Denver County, CO",,
39.5912,-106.064,,"Summit County, CO",,
40.9263,-74.077,,"Bergen County, NJ",,
29.7752,-95.3103,,"Harris County, TX",,
37.7749,-122.4194,,"San Francisco County, CA",,
37.8534,-121.9018,,"Contra Costa County, CA",,
33.7879,-117.8531,,"Orange County, CA",,
42.1767,-71.1449,,"Norfolk County, MA",,
33.2918,-112.4291,,"Maricopa County, AZ",,
35.8032,-78.5661,,"Wake County, NC",,
41.122,-73.7949,,"Westchester County, NY",,
43.9088,-71.82600000000002,,"Grafton County, NH",,
27.9904,-82.3018,,"Hillsborough, FL",,
39.0916,-120.8039,,"Placer County, CA",,
37.563,-122.3255,,"San Mateo, CA",,
38.578,-122.9888,,"Sonoma County, CA",,
45.775,-118.7606,,"Umatilla, OR",,
33.8034,-84.3963,,"Fulton County, GA",,
45.547,-123.1386,,"Washington County, OR",,
48.033,-121.8339,,"Snohomish County, WA",,
40.745,-123.8695,,"Humboldt County, CA",,
38.4747,-121.3542,,"Sacramento County, CA",,
32.7157,-117.1611,,"San Diego County, CA",,
36.5761,-120.9876,,"San Benito, CA",,
34.0522,-118.2437,,"Los Angeles, CA",,
47.6062,-122.3321,,"King County, WA",,
41.7377,-87.6976,,"Cook County, IL",,
48.4242,-121.7114,,"Skagit, WA",,
46.8646,-122.7696,,"Thurston, WA",,
48.1976,-122.5795,,"Island, WA",,
48.8787,-121.9719,,"Whatcom, WA",,
38.0834,-122.7633,,"Marin, CA",,
38.196,-120.6805,,"Calaveras, CA",,
37.5091,-120.9876,,"Stanislaus, CA",,
36.6066,-120.189,,"San Joaquin, CA",,
42.632,-70.7829,,"Essex, MA",,
30.7917,-82.0843,,"Charlton, GA",,
26.07,-81.4279,,"Collier, FL",,
27.8764,-82.7779,,"Pinellas, FL",,
29.7938,-82.4944,,"Alachua, FL",,
30.5927,-81.8224,,"Nassau, FL",,
28.3232,-82.4319,,"Pasco, FL",,
32.7767,-96.797,,"Dallas, TX",,
32.7732,-97.3517,,"Tarrant, TX",,
30.3883,-95.6963,,"Montgomery, TX",,
40.5726,-74.4927,,"Middlesex, NJ",,
39.58,-105.2663,,"Jefferson, CO",,
45.5146,-122.5863,,"Multnomah, OR",,
44.9267,-123.4919,,"Polk, OR",,
43.8325,-121.2617,,"Deschutes, OR",,
42.3334,-88.2668,,"McHenry, IL",,
42.3689,-87.8272,,"Lake, IL",,
40.4108,-75.2479,,"Bucks, PA",,
37.7772,-77.5161,,"Hanover, VA",,
34.7253,-80.6771,,"Lancaster, SC",,
36.4933,-82.3452,,"Sullivan, TN",,
39.4638,-86.1345,,"Johnson, IN",,
40.4483,-86.1345,,"Howard, IN",,
41.6228,-86.3377,,"St. Joseph, IN",,
42.6712,-97.8722,,"Knox, NE",,
40.8685,-81.2519,,"Stark, OH",,
45.3293,-93.2197,,"Anoka, MN",,
43.9952,-92.3814,,"Olmsted, MN",,
40.8298,-110.9984,,"Summit, UT",,
41.256,-73.3709,,"Fairfield, CT",,
41.7866,-73.2765,,"Litchfield, CT",,
29.9511,-90.0715,,"Orleans, LA",,
43.8901,-102.2548,,"Pennington, SD",,
44.4797,-98.2213,,"Beadle, SD",,
43.0985,-98.3965,,"Charles Mix, SD",,
43.7242,-98.2213,,"Davison, SD",,
43.6632,-96.8351,,"Minnehaha, SD",,
42.9815,-97.8722,,"Bon Homme, SD",,
33.8837,-106.7235,,"Socorro, NM",,
35.0178,-106.6291,,"Bernalillo, NM",,
42.5922,-83.3362,,"Oakland, MI",,
42.2791,-83.3362,,"Wayne, MI",,
39.5393,-75.6674,,"New Castle, DE",,
22.0,-80.0,4.0,Cuba,0.0,0.0
5.0,-58.75,4.0,Guyana,1.0,0.0
-35.4735,149.0124,1.0,Australian Capital Territory,0.0,0.0
55.3781,-3.4360000000000004,1140.0,United Kingdom,21.0,18.0
48.0196,66.9237,8.0,Kazakhstan,0.0,0.0
-17.6797,149.4068,3.0,French Polynesia,0.0,0.0
19.3133,-81.2546,1.0,Cayman Islands,0.0,0.0
16.265,-61.551,1.0,Guadeloupe,0.0,0.0
53.7609,-98.8139,4.0,Manitoba,0.0,0.0
52.9399,-106.4509,2.0,Saskatchewan,0.0,0.0
9.145,40.4897,1.0,Ethiopia,0.0,0.0
12.8628,30.2176,1.0,Sudan,1.0,0.0
9.9456,-9.6966,1.0,Guinea,0.0,0.0
12.5211,-69.9683,2.0,Aruba,0.0,0.0
37.6489,-122.6655,,Grand Princess,0.0,0.0
37.6489,-122.6655,,Grand Princess,0.0,
37.6489,-122.6655,,Grand Princess,,0.0
37.6489,-122.6655,,Grand Princess,,
-0.0236,37.9062,1.0,Kenya,0.0,0.0
17.0608,-61.7964,1.0,Antigua and Barbuda,0.0,0.0
32.3182,-86.9023,12.0,Alabama,0.0,0.0
4.0,-53.0,,Fench Guiana,,
-32.5228,-55.7658,4.0,Uruguay,0.0,0.0
7.9465,-1.0232,6.0,Ghana,0.0,0.0
18.2208,-66.5901,3.0,Puerto Rico,0.0,0.0
49.19,-2.11,2.0,Jersey,0.0,0.0
-22.9576,18.4904,2.0,Namibia,0.0,0.0
-4.6796,55.492,2.0,Seychelles,0.0,0.0
10.6918,-61.2225,2.0,Trinidad and Tobago,0.0,0.0
6.4238,-66.5897,8.0,Venezuela,0.0,0.0
12.1696,-68.99,1.0,Curacao,0.0,0.0
-26.5225,31.4659,1.0,Eswatini,0.0,0.0
-0.8037,11.6094,1.0,Gabon,0.0,0.0
15.7835,-90.2308,1.0,Guatemala,0.0,0.0
49.45,-2.58,1.0,Guernsey,0.0,0.0
21.0079,10.9408,1.0,Mauritania,0.0,0.0
-1.9403,29.8739,1.0,Rwanda,0.0,0.0
13.9094,-60.9789,1.0,Saint Lucia,0.0,0.0
12.9843,-61.2872,1.0,Saint Vincent and the Grenadines,0.0,0.0
3.9193,-56.0278,1.0,Suriname,0.0,0.0
18.3358,-64.8963,1.0,"Virgin Islands, U.S.",0.0,0.0
31.9522,35.2332,0.0,occupied Palestinian territory,0.0,0.0
3.9339,-53.1258,5.0,French Guiana,,
3.9339,-53.1258,5.0,French Guiana,,0.0
3.9339,-53.1258,5.0,French Guiana,0.0,
3.9339,-53.1258,5.0,French Guiana,0.0,0.0
13.4443,144.7937,3.0,Guam,0.0,0.0
42.6026,20.903000000000002,2.0,Kosovo,0.0,0.0
53.1355,-57.6604,1.0,Newfoundland and Labrador,0.0,0.0
46.5107,-63.4168,1.0,Prince Edward Island,0.0,0.0
6.6111,20.9394,1.0,Central African Republic,0.0,0.0
-4.0383,21.7587,1.0,Congo (Brazzaville),0.0,0.0
1.5,10.0,1.0,Equatorial Guinea,0.0,0.0
-12.8275,45.1662,1.0,Mayotte,0.0,0.0
41.3775,64.5853,1.0,Uzbekistan,0.0,0.0
